Date|Open|High|Low|Close|Volume
2021-03-01 00:00:00|6.008|6.76|6.002|6.208|2361200
2021-04-01 00:00:00|6.244|8.2|6.154|6.754|5524900
2021-05-01 00:00:00|6.755|7.17|6.7|6.785|743900
2021-06-01 00:00:00|6.71|8.325|6.66|6.89|3073400
2021-07-01 00:00:00|6.895|7.58|6.79|6.86|630800
2021-08-01 00:00:00|6.86|10.295|6.85|8.875|9395400
2021-09-01 00:00:00|8.98|17.89|8.645|14.65|75846700
2021-10-01 00:00:00|14.89|17.205|12.4|12.79|13098900
2021-11-01 00:00:00|12.71|15.14|11.01|11.82|6074600
2021-12-01 00:00:00|11.895|13.7|9.5|11.405|9181100
2022-01-01 00:00:00|11.495|15.85|10.315|11.78|14621600
2022-02-01 00:00:00|11.9|13.285|6.13|8.665|7151000
2022-03-01 00:00:00|9.295|10.405|6.305|10.005|1020600
2022-04-01 00:00:00|10.195|15.985|9.205|11.29|21979300
2022-05-01 00:00:00|11.585|11.95|9.795|10.145|3120600
2022-06-01 00:00:00|10.11|12.0|9.69|10.04|5936200
2022-07-01 00:00:00|10.015|10.365|8.95|9.12|1510500
2022-08-01 00:00:00|9.205|11.6|8.53|10.885|5710600
2022-09-01 00:00:00|11.3|12.09|7.41|7.75|9417500
2022-10-01 00:00:00|7.95|9.905|7.67|9.01|3490500
2022-11-01 00:00:00|9.02|9.935|8.86|9.355|3152200
2022-12-01 00:00:00|9.4|14.895|9.005|10.1|74475300
2023-01-01 00:00:00|10.305|13.245|9.81|11.87|104723500
2023-02-01 00:00:00|12.04|23.72|11.55|17.27|418410500
2023-03-01 00:00:00|17.44|29.7|17.02|26.99|487278200
2023-04-01 00:00:00|27.48|31.0|25.11|25.75|105376000
2023-05-01 00:00:00|25.8|27.935|21.315|24.57|41721800
2023-06-01 00:00:00|24.845|26.55|23.07|24.325|15278900
2023-07-01 00:00:00|24.35|34.58|24.04|30.8|155183400
2023-08-01 00:00:00|30.6|37.395|29.3|35.555|151531100
2023-09-01 00:00:00|36.0|43.46|25.24|33.1|298702600
2023-10-01 00:00:00|33.55|34.6|29.61|32.21|46385600
2023-11-01 00:00:00|32.21|33.93|25.3|26.805|37276000
2023-12-01 00:00:00|26.805|33.58|21.52|28.255|157474600
2024-01-01 00:00:00|28.53|31.98|28.29|31.195|54342300
2024-02-01 00:00:00|31.285|33.45|30.515|30.95|16349300
